urls,
url,score
http://economictimes.indiatimes.com/,7
http://thehill.com/,7
https://www.theguardian.com/us,7
http://www.courant.com/,7
http://www.independent.co.uk/us,7
http://newsite.thehindu.com/,7
http://www.irishtimes.com/,7
https://theintercept.com/,7
http://www.interpretermag.com/,7
http://www.presstv.com/,7
http://www.jpost.com/Jerusalem-Report,7
http://www.lohud.com/,7
http://www.irrawaddy.com/,7
https://www.themonthly.com.au/,7
http://www.thelocal.no/,7
http://www,7
http://www.nationinstitute.org/,7
http://www.thenewstribune.com/,7
https://www.theguardian.com/observer,7
http://www.theoslotimes.com/,7
http://www.cleveland.com/plaindealer/,7
http://www.pennlive.com/,7
http://www.thestranger.com/,7
http://www.providencejournal.com/,7
http://www.smh.com.au/,7
https://thetab.com/,7
http://thesunmagazine.org/,7
http://www.northjersey.com/,7
http://www.nola.com/#/0,7
https://thetyee.ca/,7
http://www.theverge.com/,7
http://pilotonline.com/,7
http://www.thisisthezerohour.com/,7
http://news.trust.org/,7
http://theweek.com/,7
http://www.timesofisrael.com/,7
http://www.timescolonist.com/,7
http://time.com/,7
https://toinformistoinfluence.com/,7
http://www.tomdispatch.com/,7
http://www.unicornriot.ninja/,7
https://www.thestar.com/,7
http://www.uft.org/,7
https://www.universitybusiness.com/,7
http://www.urban.org/,7
http://www.usnews.com/,7
https://www.vice.com/,7
http://www.usatoday.com/,7
https://www.washingtonpost.com/,7
http://www.votevets.org/,7
http://wallstreetonparade.com/,7
http://vancouversun.com/,7
http://www.washingtonblade.com/,7
http://wgntv.com/,7
http://windsorstar.com/,7
http://www.wnyc.org/,7
https://www.wired.com/,7
https://www.yahoo.com/news/?ref=gs,7
http://www.ynetnews.com/,7
http://www.worldaffairsjournal.org/,7
http://www.ydr.com/,7
